Type,SKU,Name,Description,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Saleprice,Regularprice,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
variation,SI762160-29,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,29,Size,Toddler 5T,,1,,,,,,,,
variation,SI762160-30,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,30,Size,Toddler 6T,,1,,,,,,,,
variation,SI762160-31,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,31,Size,Toddler 7T,,1,,,,,,,,
variation,SI762160-32,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,32,Size,Nike Elite 40,,1,,,,,,,,
variation,SI762160-33,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,33,Size,Nike Elite 44,,1,,,,,,,,
variation,SI762160-34,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,34,Size,Nike Elite 48,,1,,,,,,,,
variation,SI762160-35,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,35,Size,Nike Elite 52,,1,,,,,,,,
variation,SI762160-36,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,36,Size,Nike Elite 56,,1,,,,,,,,
variation,SI762160-37,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,37,Size,Nike Elite 60,,1,,,,,,,,
variation,SI762160-38,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,38,Size,Flex Base 40,,1,,,,,,,,
variation,SI762160-39,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,39,Size,Flex Base 44,,1,,,,,,,,
variation,SI762160-40,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,40,Size,Flex Base 48,,1,,,,,,,,
variation,SI762160-41,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,41,Size,Flex Base 52,,1,,,,,,,,
variation,SI762160-42,Men Women Youth Toddler All Size Miami Dolphins Customized Hoodie 001,,taxable,parent,,100,0,,60,,,,SI762160,42,Size,Flex Base 56,,1,,,,,,,,
